text,ID,genre,filename,C1_agency,C1_event,C1_world,C1_overall,C2_agency,C2_event,C2_world,C2_overall,C3_agency,C3_event,C3_world,C3_overall,SPACE,avg_agency,avg_event_seq,avg_worldmaking,avg_overall,maxdiff_agency,maxdiff_es,maxdiff_wm,maxdiff_overall,avg_maxdiff,AD
"""I am so firmly persuaded, Charles,"" would she kindly say, ""of the justness of your taste, and the rectitude of your principles, that I am not much afraid of your being misled by the captivating exterior of any woman who is greatly deficient either in sense or conduct; but remember, my son, that there are many women against whose characters there lies nothing very objectionable, who are yet little calculated to taste or to communicate rational happiness. Do not indulge romantic ideas, of super-human excellence. Remember that the fairest creature is a fallen creature. Yet let not your standard be low. If it be absurd to expect perfection, it is not unreasonable to expect consistency.",619,NOVEL19C,NOVEL19C_5S_1-EN_1809_More-Hannah_CoelebsinSearchofaWife_Novel.txt,2,1,1,1.333333333,3,1,3,2.333333333,2,1,1,1.333333333,,2.333333333,1,1.666666667,1.666666667,1,0,2,1,1,0.444444444
"""I insist on knowing the plain meaning of all this."" ""On, just for the bitterest Jacobite in the haill shire."" ""Pshaw! a Jacobite?â€”is that all?"" Andrew looked at me with some astonishment, at hearing his information treated so lightly; and then muttering, ""Aweel, it's the warst thing I ken aboot the lassie, howsoe'er,"" he resumed his spade, like the king of the Vandals, in Marmontel's late novel.",625,NOVEL19C,NOVEL19C_5S_1-EN_1817_Scott-Walter_RobRoy_Novel.txt,3,2,2,2.333333333,3,3,3,3,2,2,2,2,,2.666666667,2.333333333,2.333333333,2.444444444,1,1,1,1,1,0.37037037
"""I know nothing of it."" Having said it, he passed behind the little counter, and stood with his hand on the back of his wife's chair, looking over that barrier at the person to whom they were both opposed, and whom either of them would have shot with the greatest satisfaction. The spy, well used to his business, did not change his unconscious attitude, but drained his little glass of cognac, took a sip of fresh water, and asked for another glass of cognac. Madame Defarge poured it out for him, took to her knitting again, and hummed a little song over it. ""You seem to know this quarter well; that is to say, better than I do?""",657,NOVEL19C,NOVEL19C_5S_1-EN_1859_Dickens-Charles_ATaleofTwoCities_Novel.txt,5,5,5,5,5,5,5,5,3,5,5,4.333333333,,4.333333333,5,5,4.777777778,2,0,0,0.666666667,0.666666667,0.296296296
"""I must say good-bye."" She returned to the grave, rested both hands tenderly on the marble cross, and kissed it. ""I'm better now,"" she sighed, looking up at me quietly. ""I forgive you."" She joined her companion again, and they left the burial-ground.",658,NOVEL19C,NOVEL19C_5S_1-EN_1860_Collins-Wilkie_TheWomaninWhite_Novel.txt,5,5,5,5,5,5,5,5,2,5,5,4,,4,5,5,4.666666667,3,0,0,1,1,0.444444444
"""I say, keep off, can't you?"" said Adolph, enraged. ""Lor, now, how touchy we is,â€”we white niggers! Look at us now!"" and Sambo gave a ludicrous imitation of Adolph's manner; ""here's de airs and graces.",653,NOVEL19C,NOVEL19C_5S_1-EN_1853_Stowe-HarrietBeecher_UncleTom-sCabin_Novel.txt,3,2,2,2.333333333,5,4,3,4,2,1,2,1.666666667,,3.333333333,2.333333333,2.333333333,2.666666667,3,3,1,2.333333333,2.333333333,0.888888889
"""It is, eh?"" exclaimed the big comedian. ""She killed my hand all right. I'm not going to stand that."" ""Well, wait until after the show.",693,NOVEL19C,NOVEL19C_5S_1-EN_1900_Dreiser-Theodore_SisterCarrie_Novel.txt,3,2,2,2.333333333,3,3,3,3,1,1,1,1,,2.333333333,2,2,2.111111111,2,2,2,2,2,0.740740741
"""Miss Havisham,"" said Joe, with a fixed look at me, like an effort of remembrance, ""made it wery partick'ler that we should give herâ€”were it compliments or respects, Pip?"" ""Compliments,"" I said. ""Which that were my own belief,"" answered Joe; ""her compliments to Mrs. J. Gargeryâ€”""
""Much good they'll do me!"" observed my sister; but rather gratified too. ""And wishing,"" pursued Joe, with another fixed look at me, like another effort of remembrance, ""that the state of Miss Havisham's elth were sitch as would haveâ€”allowed, were it, Pip?""",660,NOVEL19C,NOVEL19C_5S_1-EN_1861_Dickens-Charles_GreatExpectations_Novel.txt,4,3,2,3,4,3,3,3.333333333,3,2,2,2.333333333,,3.666666667,2.666666667,2.333333333,2.888888889,1,1,1,1,1,0.37037037
"""No, ma'am, only they two."" ""Do you know where they came from?"" ""They come straight from town, as Miss Lucyâ€”Mrs. Ferrars told me."" ""And are they going farther westward?""",620,NOVEL19C,NOVEL19C_5S_1-EN_1811_Austen-Jane_SenseandSensibility_Novel.txt,3,3,2,2.666666667,3,2,2,2.333333333,2,2,2,2,,2.666666667,2.333333333,2,2.333333333,1,1,0,0.666666667,0.666666667,0.222222222
"""She came forward, all in black, with a pale head, floating towards me in the dusk. She was in mourning. It was more than a year since his death, more than a year since the news came; she seemed as though she would remember and mourn forever. She took both my hands in hers and murmured, 'I had heard you were coming.' I noticed she was not very youngâ€”I mean not girlish.",691,NOVEL19C,NOVEL19C_5S_1-EN_1899_Conrad-Joseph_HeartofDarkness_Novel.txt,5,5,5,5,4,4,5,4.333333333,4,4,5,4.333333333,,4.333333333,4.333333333,5,4.555555556,1,1,0,0.666666667,0.666666667,0.296296296
"""She couldn't have prevented it."" ""She can do anything; that's what I've always liked her for. I knew she could play any part; but I understood that she played them one by one. I didn't understand that she would play two at the same time."" ""I don't know what part she may have played to you,"" Isabel said; ""that's between yourselves.",669,NOVEL19C,NOVEL19C_5S_1-EN_1881_James-Henry_PortraitofaLady_Novel.txt,4,4,2,3.333333333,4,3,3,3.333333333,1,1,1,1,,3,2.666666667,2,2.555555556,3,3,2,2.333333333,2.666666667,1.037037037
"""Speak on!"" said her husband, smiling; ""I love the sounds of your voice. You must anticipate our errand hither: I have told you my plans: how do you like them?"" ""I must first see them,"" returned his wife. ""But I have had my plans, too; it is time I should begin to divulge them.""",633,NOVEL19C,NOVEL19C_5S_1-EN_1823_Cooper-JamesFenimore_ThePioneers_Novel.txt,4,3,3,3.333333333,4,4,3,3.666666667,3,2,2,2.333333333,,3.666666667,3,2.666666667,3.111111111,1,2,1,1.333333333,1.333333333,0.518518519
"""Stand back,"" protested the doctor quietly, ""stand back, good people, please."" The crowd bore back a little. In the silence, a woman began to sob. The seconds passed, then a minute. The horses of the carry-all shifted their feet and whisked their tails, driving off the flies.",695,NOVEL19C,NOVEL19C_5S_1-EN_1901_Norris-Frank_TheOctopus_Novel.txt,5,5,5,5,3,5,5,4.333333333,4,5,5,4.666666667,,4,5,5,4.666666667,2,0,0,0.666666667,0.666666667,0.222222222
"""That impudent Scarlet Pimpernel would slip through clumsy fingers. We must let him get to the Pere Blanchard's hut now; there surround and capture him."" ""The men understand that, citoyen, and also that, as soon as a tall stranger has been sighted, he must be shadowed, whilst one man is to turn straight back and report to you."" ""That is right,"" said Chauvelin, rubbing his hands, well pleased. ""I have further news for you, citoyen.""",702,NOVEL19C,NOVEL19C_5S_1-EN_1905_Orczy-Emma_TheScarletPimpernel_Novel.txt,4,3,3,3.333333333,4,4,4,4,2,1,2,1.666666667,,3.333333333,2.666666667,3,3,2,3,2,2.333333333,2.333333333,0.888888889
"""Then why not reveal it here?"" asked Roger Chillingworth, glancing quietly aside at the minister. ""Why should not the guilty ones sooner avail themselves of this unutterable solace?"" ""They mostly do,"" said the clergyman, griping hard at his breast, as if afflicted with an importunate throb of pain. ""Many, many a poor soul hath given its confidence to me, not only on the death-bed, but while strong in life, and fair in reputation.",647,NOVEL19C,NOVEL19C_5S_1-EN_1850_Hawthorne-Nathaniel_TheScarletLetter_Novel.txt,4,4,4,4,4,3,4,3.666666667,2,1,2,1.666666667,,3.333333333,2.666666667,3.333333333,3.111111111,2,3,2,2.333333333,2.333333333,0.962962963
"""To be bitten by wolves, poor child! He is a handsome boy. He has eyes like red fire. By my honor, Messua, he is not unlike thy boy that was taken by the tiger."" ""Let me look,"" said a woman with heavy copper rings on her wrists and ankles, and she peered at Mowgli under the palm of her hand.",686,NOVEL19C,NOVEL19C_5S_1-EN_1894_Kipling-Rudyard_TheJungleBook_Novel.txt,4,4,4,4,3,3,4,3.333333333,2,2,2,2,,3,3,3.333333333,3.111111111,2,2,2,2,2,0.740740741
"""Turn, false-hearted Templar! let go her whom thou art unworthy to touchâ€”turn, limb of a hand of murdering and hypocritical robbers!"" ""Dog!"" said the Templar, grinding his teeth, ""I will teach thee to blaspheme the holy Order of the Temple of Zion;"" and with these words, half-wheeling his steed, he made a demi-courbette towards the Saxon, and rising in the stirrups, so as to take full advantage of the descent of the horse, he discharged a fearful blow upon the head of Athelstane. Well said Wamba, that silken bonnet keeps out no steel blade.",629,NOVEL19C,NOVEL19C_5S_1-EN_1820_Scott-Walter_Ivanhoe_Novel.txt,3,4,4,3.666666667,5,5,4,4.666666667,2,4,4,3.333333333,,3.333333333,4.333333333,4,3.888888889,3,1,0,1.333333333,1.333333333,0.518518519
"""Whoever you are, who partake of my fate,
     accept my sincere commiserationâ€”I would have said
     protection; but the privilege of man is denied me. ""My own situation forces a dreadful suspicion on
     my mindâ€”I may not always languish in vain for freedomâ€”
     say are youâ€”I cannot ask the question; yet I will
     remember you when my remembrance can be of any use. I will enquire, why you are so mysteriously detainedâ€”
     and I will have an answer. ""HENRY DARNFORD."" By the most pressing intreaties, Maria prevailed on Jemima to permit her to write a reply to this note.",613,NOVEL19C,NOVEL19C_5S_1-EN_1798_Wollstonecraft-Mary_Maria_Novel.txt,2,2,1,1.666666667,3,3,4,3.333333333,1,2,1,1.333333333,,2,2.333333333,2,2.111111111,2,1,3,2,2,0.814814815
"""Why, cousin? Is it that you canâ€”?"" ""See better what he's doing? Perhaps,"" said I. ""And why are you glad?""",685,NOVEL19C,NOVEL19C_5S_1-EN_1894_Hope-Anthony_ThePrisonerofZenda_Novel.txt,3,2,1,2,2,2,2,2,1,1,1,1,,2,1.666666667,1.333333333,1.666666667,2,1,1,1,1.333333333,0.444444444
"""Yes; and behaved rather oddly, I believe. I was not here when she came, but was told she asked for Turner, in a very agitated manner. She was directed to the Victoria Ward, where he is; and when she got there, looked excessively flurried and excitedâ€”seeing the Ward quite full, and, perhaps, not being used to hospitals. However it was, though the nurse pointed out the right bed to her, she ran in a mighty hurry to the wrong one."" ""I understand,"" said Ralph; ""just as some women run into the wrong omnibus, when the right one is straight before them.""",651,NOVEL19C,NOVEL19C_5S_1-EN_1852_Collins-Wilkie_Basil_Novel.txt,4,3,2,3,4,4,5,4.333333333,2,1,2,1.666666667,,3.333333333,2.666666667,3,3,2,3,3,2.666666667,2.666666667,0.888888889
"""You are dancing with the only handsome girl in the room,"" said Mr. Darcy, looking at the eldest Miss Bennet. ""Oh! she is the most beautiful creature I ever beheld! But there is one of her sisters sitting down just behind you, who is very pretty, and I dare say, very agreeable. Do let me ask my partner to introduce you.""",621,NOVEL19C,NOVEL19C_5S_1-EN_1813_Austen-Jane_PrideandPrejudice_Novel.txt,4,3,3,3.333333333,3,2,3,2.666666667,3,2,4,3,,3.333333333,2.333333333,3.333333333,3,1,1,1,0.666666667,1,0.222222222
"""You see through all my turpitude,"" she observed, affecting to smile, although in truth she was more moved than her pride would allow her to show. Her aunt sighed, seeing no sign of softening. She feared it was labour lost, but still she felt impelled to try once more before she renounced the effort. She was nervous about it, however, being naturally diffident, and hesitated, trying to collect her thoughts; and in the interval the evening shadows deepened, the half hour chimed from the city clocks, and then she spoke. ""Just think,"" she said sadlyâ€”""Just think what it will be when you have gone from here this eveningâ€”if you carry out your determination and return after dinner; just think what it will be when you find yourself alone again in that great house with the night before you; and your aching heart, and your bitter thoughts, and the remorse which gnaws without ceasing, for companions; and not one night of it only but all the years to come, and every phase of it; from the sharp pain of this moment to the dull discontent in which it ends and from which nothing on earth will rouse you; think of yourself then without comfort and without hope.""",682,NOVEL19C,NOVEL19C_5S_1-EN_1893_Grand-Sarah_TheHeavenlyTwins_Novel.txt,5,4,4,4.333333333,4,4,4,4,4,5,4,4.333333333,,4.333333333,4.333333333,4,4.222222222,1,1,0,0.333333333,0.666666667,0.148148148
"""Your brother! My uncle!"" cried Rose, in amazement. ""Luke was the oldest of us,"" said Mrs. Fane-Smith, ""then came Jean, and I was the youngest of all, at least of those who lived."" ""Then I have an aunt, too, an Aunt Jean?""",670,NOVEL19C,NOVEL19C_5S_1-EN_1884_Lyall-Edna_WeTwo_Novel.txt,3,3,2,2.666666667,3,3,3,3,2,2,2,2,,2.666666667,2.666666667,2.333333333,2.555555556,1,1,1,1,1,0.37037037
"( 2. ) A sledge, flat-headed from 10 l. to 20 l. weight; will last about 7 years, new-ordered once a quarter. ( 3. ) Gadds, or Wedges of 2 l. weight,4 square, well steeled at the point; will last a week; 2 or 3 days, then sharpened. ( 4. )",346,SCIENCE,SCIENCE_5S_101055____1671.txt,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,0,0,0,0,0
"( st. nov. ) 1672; giving some Account of a New Comet, lately seen in that Country: Englished as follows. ~I Shall not excuse my long silence, but acquaint you in brief with a New Appearance in the Heavens. There hath been seen here a New Comet from the 2d of March 1672; which I my self, being some days absent from home and from my instruments, could not observe till March 6th in the evening. It is seen both mornings and evenings. It is but little, having at the present a train not above a degree or a degree and an half long: which would doubtless appear bigger, if it were not for the twy-light, and the Moon were absent.",301,SCIENCE,SCIENCE_5S_100917____1672.txt,3,4,4,3.666666667,2,2,3,2.333333333,1,2,2,1.666666667,,2,2.666666667,3,2.555555556,2,2,2,2,2,0.740740741
"[5.3]
Mr Jenkison. I conceive the use of wine to be always pernicious in excess, but often useful in moderation: it certainly kills some, but it saves the lives of others: I find that an occasional glass, taken with judgment and caution, has a very salutary effect in maintaining that equilibrium of the system, which it is always my aim to preserve; and this calm and temperate use of wine was, no doubt, what Homer meant to inculcate, when he said: Î Î±Ï Î´Îµ Î´ÎµÏ€Î±Ï‚ Î¿Î¹Î½Î¿Î¹Î¿, Ï€Î¹ÎµÎ¹Î½ â€˜Î¿Ï„Îµ Ï‘Ï…Î¼Î¿Ï‚ Î±Î½Ï‰Î³Î¿Î¹. [5.4]
Squire Headlong. Good. Pass the bottle.",624,NOVEL19C,NOVEL19C_5S_1-EN_1815_Peacock-ThomasLove_HeadlongHall_Novel.txt,3,1,2,2,3,2,2,2.333333333,1,1,2,1.333333333,,2.333333333,1.333333333,2,1.888888889,2,1,0,1,1,0.37037037
"*

His lordship, who loved incense
from his soul, and who burned pastiles,
when he could obtain no other, felt
disposed to act graciously towards the
unknown ; especially, as the eyes of
the whole room were by this time
upon the box. *' It is a great happiness, "" said he,
"" that education has enabled, of late
years, the ceremonies of poetical adoration
to be administered by tiair priestesses."" Â«' True, "" replied she: '' nor do I see
reason why women should not be
conversant, equally with men, in every
branch of hunidn knowledge. Bacon
divides learning into three great j)arts>

18 SIX MTEEKS AT LONft's. correspondent to the three grand attributes
of the mind.",81,19CNONFIC,19CNONFIC_5S_dul1-ark-13960-t8hd8qk80-norm.txt,4,3,3,3.333333333,4,4,3,3.666666667,4,3,3,3.333333333,,4,3.333333333,3,3.444444444,0,1,0,0.333333333,0.333333333,0.148148148
"1 '
fie was predicted as "" a man of sorrows, "" and frequently
styled himself"" the Son of wan."" '.He became man in order
to obey the law we had broken, and to suffer the punishment
we had merited. Because no one can see God, he lived among
us as a man, that from his spirit and conduct we might 'have
a clearer idea of what God is. Thus he said ; "" He that hath
seen me, Jiath seen the Father."" And he became a man that,
suffering what we suffer, we might feel sure that he can sympathise
with us.",68,19CNONFIC,19CNONFIC_5S_dul1-ark-13960-t6834mw7z-norm.txt,4,3,3,3.333333333,4,3,3,3.333333333,3,2,3,2.666666667,,3.666666667,2.666666667,3,3.111111111,1,1,0,0.666666667,0.666666667,0.296296296
"1.

or, C is a point such that if the masses of
A and B were concentrated at C, their
mass vector from any origin O would be
the same as when A and B are in their
actual positions. The point C is called the
Centre of Mass of A and B.
Centre of Mass of a System. â€” If the
system consists of any number of particles,
we may begin by finding the centre of
mass of any two particles, and substituting
for the two particles a particle equal to
their sum placed at their centre of mass. We may then find the centre of mass of
this particle, together with the the third
particle of the system, and place the sum
of the three particles at this point, and so
86
on till we have found the centre of mass
of the whole system. The mass vector drawn from any origin
to a mass, equal to that of the whole
system placed at the centre of mass of the
system, is equal to the sum of the mass
vectors drawn from the same origin to all
the particles of the system.",25,19CNONFIC,19CNONFIC_5S_coo-31924004146902-norm.txt,1,4,1,2,2,3,1,2,1,1,1,1,,1.333333333,2.666666667,1,1.666666667,1,3,0,1,1.333333333,0.444444444
"10 galvanised, and running lengthwise
are two horizontal wires of the same. The diamond work can be made of
strong twine, and should be fastened
both at the middle wire and top and bottom strips. Have
the rows of vines come inside. Set posts eight feet apart. One foot is enough for width.",41,19CNONFIC,19CNONFIC_5S_coo-31924073915005-norm.txt,1,4,2,2.333333333,1,2,2,1.666666667,1,2,3,2,,1,2.666666667,2.333333333,2,0,2,1,0.666666667,1,0.222222222
"12

In such event, on that Government will rest the responsibility of
the retribution or retaliatory measures which shall be adopted to put
an end to the merciless atrocities which now characterise the war waged
against the Confederate States. I am, most respectfully,

Your obedient servant,
(Signed) R. E. LEE,

General Commanding. (Copy.) Washington, August 7, 1862. General R. E. Lee,

Commanding, fc.",70,19CNONFIC,19CNONFIC_5S_dul1-ark-13960-t6k07wp8z-norm.txt,3,3,1,2.333333333,2,2,1,1.666666667,4,2,2,2.666666667,,3,2.333333333,1.333333333,2.222222222,2,1,1,1,1.333333333,0.37037037
"120. â€” Fractured Surface of Connecting Rod. mer. It thus differs from the granular structure which distinguishes
the surfaces of a fracture suddenly produced by a
single shock and which is so generally confounded with real
crystallisation. This remarkable specimen has been contrj
uted by the Navy Department to the cabinet of the Auth"".",27,19CNONFIC,19CNONFIC_5S_coo-31924004612192-norm.txt,1,1,2,1.333333333,1,1,1,1,2,1,2,1.666666667,,1.333333333,1,1.666666667,1.333333333,1,0,1,0.666666667,0.666666667,0.222222222
"16.
degree of solidity. Fig. 15.
action, while in Fig. 13
they are represented as
working. By continuously
shaling off the
cream it is obtained
rather thin and in larger
quantities, while by once
in a while withdrawing
the shaler, the cream may
be taken in any desirable
All the'milk to be treated having been
26
fed into the machine, and the cream having been removed,
as much skim milk as possible is further removed by the
cream shaler /.",19,19CNONFIC,19CNONFIC_5S_coo-31924002978678-norm.txt,2,3,3,2.666666667,1,4,3,2.666666667,1,2,1,1.333333333,,1.333333333,3,2.333333333,2.222222222,1,2,2,1.333333333,1.666666667,0.592592593
"1664. I made a Section of the Rinds of Ash, and of the Tree, falsely called Sycamore. The first Section of each of the Rinds was square, whereof three sides were cut, the fourth uncut. The success was, that the whole Bark did unite, by binding it with pack-thred, leaving a scar in each of the sides cut. Then I cut off and separated entirely from the Tree, several parts of the Bark, some shallower, leaving part of the Bark on; others to the very wood it self, both in the Trunk and Branches; from an inch square to less dimensions; and some of them I bound close with pack-thred: all which were separated, a new Rind succeeding in their place.",394,SCIENCE,SCIENCE_5S_101202____1666.txt,3,4,4,3.666666667,3,4,4,3.666666667,2,4,2,2.666666667,,2.666666667,4,3.333333333,3.333333333,1,0,2,1,1,0.444444444
"1672. by way of Answer to some Objections, made by an Ingenious French Philosopher to the New Reflecting Telescope. SIR, IDoubt not but M.A. will allow the advantage of reflexion in the Theory to be very great, when he shall have informed himself of the different Refrangibility of the several rays of light. And for the practique part, it is in some measure manifest by the Instruments already made, to what degree of vivacity and brightness a metaline substance may be polished. Nor is it improbable but that there may be new ways of polishing found out for metal, which will far excel those that are yet in use.",305,SCIENCE,SCIENCE_5S_100922____1672.txt,1,2,2,1.666666667,2,2,1,1.666666667,1,1,1,1,,1.333333333,1.666666667,1.333333333,1.444444444,1,1,1,0.666666667,1,0.296296296
"1672. SIR, IN the Observations and History of Nature possibly this may not be unworthy the notice. Five miles from Padua are th waters, called Aponensia, from a town called Aponum, famous in antiquity, and among others frequently mentioned by Livy. will not doubt, but that Sr. I.F.and D B. two worthy members of the R.Society and who lived long in Padova, have informed them selves most exactly of what ever I shall be able to say on this Sub ject; however I do not scruple to give you a short relation of it The waters are actually very hot. Secondly, they are stinking Thirdly, they yield a great deal of very fine salt; of which th natives serve themselves in their ordinary occasions.",309,SCIENCE,SCIENCE_5S_100934____1672.txt,1,4,5,3.333333333,2,1,3,2,1,2,3,2,,1.333333333,2.333333333,3.666666667,2.444444444,1,3,2,1.333333333,2,0.592592593
